,source,Label
0,EcoCentre,EcoCentre
1,EcoCentre,3CR
2,EcoCentre,3RRR Radio Marinara
3,EcoCentre,3WBC
4,EcoCentre,Aesop
5,EcoCentre,AGL Energy
6,EcoCentre,Albert Park College
7,EcoCentre,Albert Park Primary School
8,EcoCentre,Animal Liberation Victoria
9,EcoCentre,Association of Bayside Municipalities
10,EcoCentre,Australian Coastal Society
11,EcoCentre,Australian Landcare International
12,EcoCentre,Australian Marine Conservation Society
13,EcoCentre,Australian Marine Mammal Conservation Foundation
14,EcoCentre,Bayside City Council
15,EcoCentre,Bayside Climate Change Action Group
16,EcoCentre,Beach Patrol Australia
17,EcoCentre,Bellarine Catchment Network
18,EcoCentre,Biofilta
19,EcoCentre,Boon Wurrung Foundation
20,EcoCentre,Brighton Sea Scouts
21,EcoCentre,Carbon Arts
22,EcoCentre,Catholic Education Melbourne
23,EcoCentre,Centre for Education and Research in Environmental Strategies (CERES)
24,EcoCentre,Christ Church Community Centre
25,EcoCentre,City of Monash
26,EcoCentre,City of Port Phillip
27,EcoCentre,City of Stonnington
28,EcoCentre,City of Wyndham
29,EcoCentre,City of Yarra Ranges
30,EcoCentre,Clean Up Australia
31,EcoCentre,Coastcare Victoria
32,EcoCentre,Community Information Glen Eira
33,EcoCentre,Cool Australia
34,EcoCentre,Deakin University
35,EcoCentre,"Department of Environment, Land, Water and Planning"
36,EcoCentre,Desert Discovery Inc
37,EcoCentre,Diver Matt
38,EcoCentre,Divercity
39,EcoCentre,Dolphin Research Institute
40,EcoCentre,Earthcare St. Kilda
41,EcoCentre,Earthsong
42,EcoCentre,Elwood and St Kilda Neighbourhood Learning Centre
43,EcoCentre,Elwood Community Bank Branch
44,EcoCentre,Elwood Flood Action Group (eFLAG)
45,EcoCentre,Environment Education Victoria (former VAEE)
46,EcoCentre,Environmental Protection Authority Victoria
47,EcoCentre,Environmental Resource Management (ERM) Foundation
48,EcoCentre,Frankston City Council
49,EcoCentre,Friends of Barwon Bluff
50,EcoCentre,Friends of Elster Creek
51,EcoCentre,Friends of Greenwich Bay
52,EcoCentre,Friends of McCrae Foreshore
53,EcoCentre,Friends of Westgate Park
54,EcoCentre,Friends of Williamstown Wetlands
55,EcoCentre,Gardenvale Primary School
56,EcoCentre,Geography Teachers' Association of Victoria
57,EcoCentre,Glen Eira City Council
58,EcoCentre,Glen Eira Environment Group
59,EcoCentre,Glen Huntly Primary School
60,EcoCentre,GoodCompany
61,EcoCentre,Gordon TAFE
62,EcoCentre,Greensong
63,EcoCentre,Hamer Sprout Fund
64,EcoCentre,Helen Macpherson Smith
65,EcoCentre,Hobsons Bay City Council
66,EcoCentre,Hub Australia
67,EcoCentre,Indigenous Flora and Fauna Association
68,EcoCentre,Inner Eastern Local Learning and Employment Network
69,EcoCentre,Inner South Community Health (now STAR Health)
70,EcoCentre,Insurance Australia Group
71,EcoCentre,Jawbone Sanctuary Marine Care Group
72,EcoCentre,Jewish Ecological Coalition
73,EcoCentre,Keep Australia Beautiful
74,EcoCentre,Keep Victoria Beautiful
75,EcoCentre,Kids in Nature Network
76,EcoCentre,Kids Teaching Kids
77,EcoCentre,Kingston City Council
78,EcoCentre,Landcare Australia
79,EcoCentre,Latenite Films
80,EcoCentre,Little Feet Music
81,EcoCentre,LIVE - Locals Into Victoria’s Environment
82,EcoCentre,Lord Mayors’ Charitable Foundation
83,EcoCentre,Love Our Street 3184
84,EcoCentre,Lutman Films
85,EcoCentre,Mammal Survey Group of Victoria
86,EcoCentre,Marine Care Ricketts Point
87,EcoCentre,Mary and Basil Community Garden
88,EcoCentre,Melbourne Girls’ College
89,EcoCentre,Melbourne Polytechnic
90,EcoCentre,Melbourne Ports Stop Adani
91,EcoCentre,Melbourne Water
92,EcoCentre,Metropolitan Waste and Resource Recovery Group
93,EcoCentre,Monash University
94,EcoCentre,Montague Continuing Education Centre
95,EcoCentre,MOOP Patrol
96,EcoCentre,Mornington Peninsula Shire
97,EcoCentre,National Australia Bank (NAB)
98,EcoCentre,National Centre for Coasts and Climate
99,EcoCentre,OASES College and Graduate School
100,EcoCentre,Parks Victoria
101,EcoCentre,Patagonia
102,EcoCentre,Pelican Expeditions & Saltwater Projects
103,EcoCentre,PJT Green Plumbing
104,EcoCentre,Ply Creative
105,EcoCentre,Point Nepean Conservation Society
106,EcoCentre,Polperro Dolphin Swims
107,EcoCentre,Port Melbourne Primary School
108,EcoCentre,Port Phillip & Westernport Catchment Management Authority
